gender,age,wave,date_start,date_end,country,sample,vaccine_yes,vaccine_no,vaccine_dk,vaccine_taken
male,20-30,1,6-Jul-20,19-Jul-20,PH,270,0.718145208,0.088641788,0.193213004,0
female,20-30,1,6-Jul-20,19-Jul-20,PH,403,0.625246057,0.130437375,0.244316568,0
male,31-40,1,6-Jul-20,19-Jul-20,PH,170,0.698314159,0.113691041,0.187994799,0
female,31-40,1,6-Jul-20,19-Jul-20,PH,206,0.575569514,0.161307599,0.263122886,0
male,41-50,1,6-Jul-20,19-Jul-20,PH,124,0.681560532,0.127703027,0.190736441,0
female,41-50,1,6-Jul-20,19-Jul-20,PH,110,0.504308797,0.18022799,0.315463213,0
male,51-60,1,6-Jul-20,19-Jul-20,PH,108,0.542790761,0.2381496,0.219059639,0
female,51-60,1,6-Jul-20,19-Jul-20,PH,84,0.42443366,0.259817685,0.315748654,0
male,20-30,2,20-Jul-20,2-Aug-20,PH,285,0.71122297,0.095387915,0.193389115,0
female,20-30,2,20-Jul-20,2-Aug-20,PH,421,0.651394065,0.118211929,0.230394007,0
male,31-40,2,20-Jul-20,2-Aug-20,PH,171,0.697328287,0.147970684,0.154701029,0
female,31-40,2,20-Jul-20,2-Aug-20,PH,211,0.635608295,0.145230169,0.219161535,0
male,41-50,2,20-Jul-20,2-Aug-20,PH,119,0.659395077,0.134534907,0.206070016,0
female,41-50,2,20-Jul-20,2-Aug-20,PH,86,0.57561335,0.237977328,0.186409322,0
male,51-60,2,20-Jul-20,2-Aug-20,PH,73,0.750737457,0.083075815,0.166186728,0
female,51-60,2,20-Jul-20,2-Aug-20,PH,66,0.547372753,0.198217085,0.254410161,0
male,20-30,3,3-Aug-20,16-Aug-20,PH,252,0.609485393,0.141278733,0.249235873,0
female,20-30,3,3-Aug-20,16-Aug-20,PH,388,0.558092594,0.192392583,0.249514823,0
male,31-40,3,3-Aug-20,16-Aug-20,PH,156,0.688787268,0.147015526,0.164197206,0
female,31-40,3,3-Aug-20,16-Aug-20,PH,186,0.568000986,0.182133554,0.249865459,0
male,41-50,3,3-Aug-20,16-Aug-20,PH,116,0.749638905,0.111868106,0.138492989,0
female,41-50,3,3-Aug-20,16-Aug-20,PH,78,0.446102955,0.195917347,0.357979698,0
male,51-60,3,3-Aug-20,16-Aug-20,PH,85,0.581230082,0.196009586,0.222760331,0
female,51-60,3,3-Aug-20,16-Aug-20,PH,64,0.401642472,0.290253359,0.308104169,0
male,20-30,4,17-Aug-20,30-Aug-20,PH,213,0.634495391,0.127319404,0.238185205,0
female,20-30,4,17-Aug-20,30-Aug-20,PH,345,0.518508108,0.16405234,0.317439552,0
male,31-40,4,17-Aug-20,30-Aug-20,PH,146,0.503461496,0.221890332,0.274648172,0
female,31-40,4,17-Aug-20,30-Aug-20,PH,205,0.436076074,0.186098541,0.377825385,0
male,41-50,4,17-Aug-20,30-Aug-20,PH,95,0.581340177,0.190072156,0.228587667,0
female,41-50,4,17-Aug-20,30-Aug-20,PH,93,0.39300706,0.198053304,0.408939636,0
male,51-60,4,17-Aug-20,30-Aug-20,PH,67,0.580778177,0.192249417,0.226972406,0
female,51-60,4,17-Aug-20,30-Aug-20,PH,69,0.421424259,0.318818637,0.259757104,0
male,20-30,5,31-Aug-20,13-Sep-20,PH,181,0.623359329,0.157793795,0.218846876,0
female,20-30,5,31-Aug-20,13-Sep-20,PH,333,0.478898166,0.189385426,0.331716408,0
male,31-40,5,31-Aug-20,13-Sep-20,PH,151,0.553212825,0.153841533,0.292945642,0
female,31-40,5,31-Aug-20,13-Sep-20,PH,169,0.441068821,0.259911991,0.299019188,0
male,41-50,5,31-Aug-20,13-Sep-20,PH,99,0.481358686,0.250470927,0.268170387,0
female,41-50,5,31-Aug-20,13-Sep-20,PH,71,0.404619888,0.209405682,0.38597443,0
