"id","gender","age_grp","wave","country","response","lower","upper","age"
1,"male","20-30",1,"PH","Yes",20,30,25
2,"male","20-30",1,"PH","Yes",20,30,29
3,"male","20-30",1,"PH","Yes",20,30,23
4,"male","20-30",1,"PH","Yes",20,30,22
5,"male","20-30",1,"PH","Yes",20,30,27
6,"male","20-30",1,"PH","Yes",20,30,30
7,"male","20-30",1,"PH","No",20,30,25
8,"male","20-30",1,"PH","Yes",20,30,20
9,"male","20-30",1,"PH","No",20,30,21
10,"male","20-30",1,"PH","Yes",20,30,30
11,"male","20-30",1,"PH","Yes",20,30,30
12,"male","20-30",1,"PH","Yes",20,30,28
13,"male","20-30",1,"PH","Yes",20,30,21
14,"male","20-30",1,"PH","Don't Know",20,30,22
15,"male","20-30",1,"PH","Yes",20,30,23
16,"male","20-30",1,"PH","Yes",20,30,28
17,"male","20-30",1,"PH","Don't Know",20,30,30
18,"male","20-30",1,"PH","Yes",20,30,29
19,"male","20-30",1,"PH","Yes",20,30,29
20,"male","20-30",1,"PH","Yes",20,30,30
21,"male","20-30",1,"PH","No",20,30,23
22,"male","20-30",1,"PH","Yes",20,30,29
23,"male","20-30",1,"PH","Yes",20,30,22
24,"male","20-30",1,"PH","Yes",20,30,20
25,"male","20-30",1,"PH","Yes",20,30,24
26,"male","20-30",1,"PH","Don't Know",20,30,22
27,"male","20-30",1,"PH","Yes",20,30,30
28,"male","20-30",1,"PH","Yes",20,30,24
29,"male","20-30",1,"PH","Yes",20,30,20
30,"male","20-30",1,"PH","Don't Know",20,30,30
31,"male","20-30",1,"PH","No",20,30,20
32,"male","20-30",1,"PH","Yes",20,30,26
33,"male","20-30",1,"PH","Yes",20,30,20
34,"male","20-30",1,"PH","Yes",20,30,30
35,"male","20-30",1,"PH","Yes",20,30,25
36,"male","20-30",1,"PH","Yes",20,30,20
37,"male","20-30",1,"PH","Don't Know",20,30,26
38,"male","20-30",1,"PH","Don't Know",20,30,23
39,"male","20-30",1,"PH","Yes",20,30,25
40,"male","20-30",1,"PH","Yes",20,30,21
41,"male","20-30",1,"PH","Yes",20,30,29
42,"male","20-30",1,"PH","Don't Know",20,30,30
43,"male","20-30",1,"PH","Yes",20,30,23
44,"male","20-30",1,"PH","Yes",20,30,28
45,"male","20-30",1,"PH","Yes",20,30,20
46,"male","20-30",1,"PH","No",20,30,30
47,"male","20-30",1,"PH","Don't Know",20,30,20
48,"male","20-30",1,"PH","Yes",20,30,23
49,"male","20-30",1,"PH","Yes",20,30,29
50,"male","20-30",1,"PH","Yes",20,30,27
51,"male","20-30",1,"PH","Yes",20,30,25
52,"male","20-30",1,"PH","Yes",20,30,24
53,"male","20-30",1,"PH","Don't Know",20,30,27
54,"male","20-30",1,"PH","Don't Know",20,30,27
55,"male","20-30",1,"PH","Yes",20,30,22
56,"male","20-30",1,"PH","No",20,30,21
57,"male","20-30",1,"PH","Don't Know",20,30,23
58,"male","20-30",1,"PH","Yes",20,30,22
59,"male","20-30",1,"PH","Yes",20,30,28
60,"male","20-30",1,"PH","Yes",20,30,26
61,"male","20-30",1,"PH","Yes",20,30,29
62,"male","20-30",1,"PH","Don't Know",20,30,22
63,"male","20-30",1,"PH","Don't Know",20,30,27
64,"male","20-30",1,"PH","Don't Know",20,30,29
65,"male","20-30",1,"PH","Don't Know",20,30,30
66,"male","20-30",1,"PH","Yes",20,30,26
67,"male","20-30",1,"PH","Yes",20,30,27
68,"male","20-30",1,"PH","Yes",20,30,23
69,"male","20-30",1,"PH","Yes",20,30,22
70,"male","20-30",1,"PH","Don't Know",20,30,21
71,"male","20-30",1,"PH","Yes",20,30,20
72,"male","20-30",1,"PH","No",20,30,22
73,"male","20-30",1,"PH","Yes",20,30,21
74,"male","20-30",1,"PH","Yes",20,30,21
75,"male","20-30",1,"PH","Yes",20,30,25
76,"male","20-30",1,"PH","Yes",20,30,24
77,"male","20-30",1,"PH","Yes",20,30,29
78,"male","20-30",1,"PH","No",20,30,21
79,"male","20-30",1,"PH","Yes",20,30,29
80,"male","20-30",1,"PH","Yes",20,30,30
81,"male","20-30",1,"PH","Yes",20,30,25
82,"male","20-30",1,"PH","Yes",20,30,24
83,"male","20-30",1,"PH","Yes",20,30,27
84,"male","20-30",1,"PH","Don't Know",20,30,20
85,"male","20-30",1,"PH","No",20,30,27
86,"male","20-30",1,"PH","Don't Know",20,30,29
87,"male","20-30",1,"PH","Yes",20,30,22
88,"male","20-30",1,"PH","Don't Know",20,30,26
89,"male","20-30",1,"PH","Yes",20,30,20
90,"male","20-30",1,"PH","Yes",20,30,28
91,"male","20-30",1,"PH","Don't Know",20,30,28
92,"male","20-30",1,"PH","Yes",20,30,29
93,"male","20-30",1,"PH","Yes",20,30,27
94,"male","20-30",1,"PH","Yes",20,30,27
95,"male","20-30",1,"PH","Yes",20,30,30
96,"male","20-30",1,"PH","Yes",20,30,21
97,"male","20-30",1,"PH","Yes",20,30,20
98,"male","20-30",1,"PH","Yes",20,30,24
99,"male","20-30",1,"PH","Yes",20,30,20
100,"male","20-30",1,"PH","Yes",20,30,30
101,"male","20-30",1,"PH","Yes",20,30,30
102,"male","20-30",1,"PH","Yes",20,30,20
103,"male","20-30",1,"PH","Yes",20,30,20
104,"male","20-30",1,"PH","Yes",20,30,27
105,"male","20-30",1,"PH","No",20,30,23
106,"male","20-30",1,"PH","Yes",20,30,26
107,"male","20-30",1,"PH","Yes",20,30,25
108,"male","20-30",1,"PH","Don't Know",20,30,26
109,"male","20-30",1,"PH","Yes",20,30,24
110,"male","20-30",1,"PH","Yes",20,30,24
111,"male","20-30",1,"PH","Yes",20,30,29
112,"male","20-30",1,"PH","Yes",20,30,26
113,"male","20-30",1,"PH","Yes",20,30,27
114,"male","20-30",1,"PH","Yes",20,30,26
115,"male","20-30",1,"PH","No",20,30,21
116,"male","20-30",1,"PH","Yes",20,30,27
117,"male","20-30",1,"PH","Yes",20,30,20
118,"male","20-30",1,"PH","Yes",20,30,30
119,"male","20-30",1,"PH","Yes",20,30,24
120,"male","20-30",1,"PH","Yes",20,30,28
121,"male","20-30",1,"PH","Yes",20,30,21
122,"male","20-30",1,"PH","Yes",20,30,27
123,"male","20-30",1,"PH","Yes",20,30,20
124,"male","20-30",1,"PH","Yes",20,30,30
125,"male","20-30",1,"PH","Yes",20,30,21
126,"male","20-30",1,"PH","Yes",20,30,28
127,"male","20-30",1,"PH","Don't Know",20,30,22
128,"male","20-30",1,"PH","Yes",20,30,29
129,"male","20-30",1,"PH","Yes",20,30,23
130,"male","20-30",1,"PH","Yes",20,30,26
131,"male","20-30",1,"PH","Yes",20,30,23
132,"male","20-30",1,"PH","Don't Know",20,30,20
133,"male","20-30",1,"PH","Yes",20,30,27
134,"male","20-30",1,"PH","Yes",20,30,26
135,"male","20-30",1,"PH","Yes",20,30,25
136,"male","20-30",1,"PH","Yes",20,30,22
