id,gender,age_grp,wave,country,lower,upper,age,norm_raw,vaccine_norm
1,female,20-30,9,PH,20,30,22,72.10338257,72
2,female,20-30,9,PH,20,30,25,74.47079584,74
3,female,20-30,9,PH,20,30,25,45.01187938,45
4,female,20-30,9,PH,20,30,25,72.75230481,73
5,female,20-30,9,PH,20,30,29,116.5817035,100
6,female,20-30,9,PH,20,30,30,80.19914155,80
7,female,20-30,9,PH,20,30,21,44.04227741,44
8,female,20-30,9,PH,20,30,26,70.81190201,71
9,female,20-30,9,PH,20,30,27,87.42585374,87
10,female,20-30,9,PH,20,30,20,32.6812035,33
11,female,20-30,9,PH,20,30,25,64.3897365,64
12,female,20-30,9,PH,20,30,22,70.88786771,71
13,female,20-30,9,PH,20,30,20,50.94373014,51
14,female,20-30,9,PH,20,30,25,46.83447121,47
15,female,20-30,9,PH,20,30,28,33.74197671,34
16,female,20-30,9,PH,20,30,23,72.96676959,73
17,female,20-30,9,PH,20,30,27,55.21900792,55
18,female,20-30,9,PH,20,30,28,28.41218459,28
19,female,20-30,9,PH,20,30,25,52.51471862,53
20,female,20-30,9,PH,20,30,29,77.70708348,78
21,female,20-30,9,PH,20,30,22,54.70661078,55
22,female,20-30,9,PH,20,30,24,56.02247688,56
23,female,20-30,9,PH,20,30,22,86.82227293,87
24,female,20-30,9,PH,20,30,20,49.97475538,50
25,female,20-30,9,PH,20,30,27,47.19577393,47
26,female,20-30,9,PH,20,30,30,42.02101835,42
27,female,20-30,9,PH,20,30,23,58.07692655,58
28,female,20-30,9,PH,20,30,28,54.31128495,54
29,female,20-30,9,PH,20,30,23,73.59844309,74
30,female,20-30,9,PH,20,30,26,60.60559243,61
31,female,20-30,9,PH,20,30,24,61.34489348,61
32,female,20-30,9,PH,20,30,21,68.96855423,69
33,female,20-30,9,PH,20,30,23,29.76847741,30
34,female,20-30,9,PH,20,30,22,32.1236832,32
35,female,20-30,9,PH,20,30,21,47.17842349,47
36,female,20-30,9,PH,20,30,27,37.73461156,38
37,female,20-30,9,PH,20,30,22,78.85345979,79
38,female,20-30,9,PH,20,30,21,62.01362824,62
39,female,20-30,9,PH,20,30,24,108.7147337,100
40,female,20-30,9,PH,20,30,24,62.48896455,62
41,female,20-30,9,PH,20,30,21,54.14363084,54
42,female,20-30,9,PH,20,30,24,36.17740401,36
43,female,20-30,9,PH,20,30,30,62.6239666,63
